VentaID,Fecha,Especie,Raza,Barrio,Estrato,Producto,Cantidad,PrecioUnitario,ValorTotal
1,2026-03-04,Gato,Persa,Capri,4,Vitaminas,1,37186.0,37186
2,2026-01-14,Gato,British Shorthair,Granada,5,Arena Sanitaria,2,51614.0,103228
3,2026-03-04,Gato,Siamés,Ciudad Jardín,6,Alimento Premium,4,116968.0,467872
4,2026-01-02,Perro,Criollo, Granada ,5,Arena Sanitaria,4,51812.0,207248
5,2026-02-18,Perro,French Bulldog,Capri,4,Alimento Estándar,1,75353.0,75353
6,2026-03-03,Perro,labrador,Ciudad Jardín,6,Medicamento,1,49974.0,49974
7,2026-02-19,Perro,Pastor Alemán,Ciudad Jardín,6,Juguete,4,31146.0,124584
8,2026-01-19,Gato,Maine Coon,Caney,4,Alimento Estándar,2,69999.0,139998
9,2026-03-03,Gato,LABRADOR,Pance,6,Medicamento,4,45717.0,182868
10,2026-02-14,Perro,Pastor Alemán,Capri,4,Alimento Estándar,3,68490.0,205470
11,2026-03-12,Perro,Criollo,San Fernando,5,Shampoo,3,29572.0,88716
12,2026-02-23,Gato,British Shorthair,Pance,6,Alimento Premium,1,120422.0,120422
13,2026-03-13,perro,Labrador,Caney,4,Vitaminas,4,40662.0,162648
14,2026-02-02,Gato,Siamés,Pance,6,Medicamento,2,42918.0,85836
15,2026-02-28,Perro,French Bulldog,El Ingenio,5,Vitaminas,2,42519.0,85038
16,2026-02-05,Gato,Siamés,El Ingenio,5,Juguete,4,,140008
17,2026-03-13,Gato,British Shorthair,Caney,4,Vitaminas,4,41878.0,167512
18,2026-03-08,Perro,Golden Retriever,San Fernando,5,Alimento Estándar,2,69800.0,139600
19,2026-01-14,Perro,Yorkshire Terrier,,5,Medicamento,3,41067.0,123201
20,2026-03-26,Gato,British Shorthair,Versalles,4,Alimento Estándar,1,73481.0,73481
21,2026-03-13,Gato,Criollo,Capri,4,Juguete,1,33889.0,33889
22,2026-01-11,Perro,Golden Retriever,San Fernando,5,Alimento Estándar,4,68659.0,274636
23,2026-01-12,Perro,Labrador,Granada,5,Arena Sanitaria,-2,59791.0,119582
24,2026-03-09,Perro,Labrador,Ciudad Jardín,6,Arena Sanitaria,4,53433.0,213732
25,2026-02-15,Gato,British Shorthair,Versalles,4,Juguete,1,27889.0,27889
26,2026/15/03,Gato,Criollo,Caney,4,Alimento Premium,2,117674.0,235348
27,2026-03-12,Gato,Criollo,El Ingenio,5,Arena Sanitaria,1,54362.0,54362
28,2026-03-28,Perro,Criollo,Granada,5,Shampoo,3,25491.0,76473
29,2026-03-18,Gato,British Shorthair,Versalles,4,Alimento Estándar,3,69650.0,208950
30,2026-03-26,Gato,Persa,Ciudad Jardín,6,Shampoo,2,30564.0,61128
31,2026-02-16,Perro,Golden Retriever,Pance,6,Medicamento,1,41457.0,9999999
32,2026-01-08,Gato,Persa,Versalles,4,Juguete,3,31974.0,95922
33,2026-02-20,Perro,Golden Retriever,Pance,6,Alimento Estándar,3,69348.0,208044
34,2026-02-26,Perro,Yorkshire Terrier,Versalles,4,Shampoo,1,25964.0,25964
35,2026-03-13,Perro,Yorkshire Terrier,El Ingenio,5,Juguete,3,27421.0,82263
36,2026-01-01,Gato,Criollo,San Fernando,5,medicamento,2,38785.0,77570
