,ID,Edad,Genero,Municipio,Institucion,Estrato,Promedio,Beca,Asistencia
0,1,25.0,M,Cali,INEM,1,5.8,False,80.0
2,3,17.0,M,Palmira,IE Central,6,3.71,False,80.0
3,4,16.0,M,Cali,INEM,5,5.8,False,100.0
5,6,16.0,M,Cali,IE Central,2,5.8,False,80.0
6,7,16.0,M,Cali,IE Central,4,5.8,True,95.0
7,8,25.0,M,Cali,IE Central,2,5.8,True,95.0
8,9,16.0,M,Cali,IE Central,2,5.8,True,95.0
9,10,25.0,F,Cali,IE Central,2,4.63,True,80.0
10,11,25.0,F,Cali,IE Central,1,5.8,False,95.0
16,17,18.0,F,Cali,IE Central,2,5.8,True,80.0
17,18,16.0,F,Cali,IE Central,6,5.8,True,100.0
20,21,18.0,M,Cali,INEM,1,5.8,True,95.0
21,22,25.0,F,Cali,IE Central,5,4.14,False,100.0
22,23,16.0,M,Palmira,IE Central,6,5.8,True,95.0
23,24,25.0,M,Cali,INEM,3,4.61,True,80.0
24,25,17.0,M,Cali,IE Central,4,5.8,True,95.0
25,26,17.0,M,Palmira,IE Central,3,4.02,False,95.0
26,27,18.0,M,Palmira,IE Central,1,4.52,False,95.0
27,28,16.0,F,Cali,INEM,2,3.67,False,95.0
28,29,18.0,F,Cali,IE Central,4,4.87,True,95.0
